time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450850000	11.9581	21.0822	4.91567	3.08614	0.592707	radar	0.915578	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7212	21.046	4.87244	3.13442	0.615657	lidar	1.88205	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4761	21.0312	4.8661	3.16973	0.619513	radar	1.05712	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2688	21.021	4.79345	3.20102	0.621929	lidar	0.645136	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.015	20.9808	4.81384	3.2407	0.630556	radar	4.10803	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.813	20.9391	4.73372	3.27988	0.642051	lidar	0.406205	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5681	20.9368	4.68815	3.28179	0.57711	radar	5.53034	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2676	20.9767	4.84312	3.27286	0.526889	lidar	3.69426	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0302	20.9582	4.83729	3.29144	0.515867	radar	1.00331	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.85095	20.9163	4.71614	3.32408	0.527324	lidar	1.49152	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.62354	20.9047	4.64248	3.32223	0.468808	radar	1.70888	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.43984	20.8531	4.55275	3.3539	0.480897	lidar	0.648664	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.22746	20.8079	4.54988	3.37999	0.489377	radar	1.41737	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.90567	20.7882	4.7545	3.37515	0.449387	lidar	2.83954	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.69875	20.7048	4.72453	3.41577	0.478167	radar	4.4155	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40311	20.6254	4.86665	3.43495	0.469226	lidar	2.97323	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17313	20.5455	4.87907	3.46472	0.481941	radar	0.101554	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.9255	20.4666	4.9141	3.48552	0.47718	lidar	0.11158	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.70896	20.3815	4.93117	3.51963	0.504283	radar	3.39821	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.37476	20.3291	5.13187	3.50795	0.455351	lidar	2.8906	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.13498	20.2349	5.12136	3.52784	0.447243	radar	0.216374	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.86779	20.1515	5.17831	3.53784	0.431214	lidar	0.270504	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.63714	20.0622	5.14333	3.55268	0.418133	radar	0.523441	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.39445	19.9692	5.15505	3.56731	0.41045	lidar	0.114276	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.17529	19.8774	5.12505	3.58535	0.410026	radar	2.95916	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.91254	19.7831	5.18099	3.59197	0.392229	lidar	0.32907	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.6708	19.6385	5.26886	3.63027	0.431373	radar	1.71991	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.52226	19.5097	5.11066	3.67214	0.459329	lidar	2.06582	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.32097	19.36	5.09867	3.70782	0.478426	radar	1.86139	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.11701	19.2579	5.05892	3.72079	0.466209	lidar	1.91313	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.9362	19.1457	4.93577	3.73475	0.444111	radar	4.55449	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
